distid_o,distid_d
9000000,151004
9061104,41001
9061104,41003
9061104,41004
9061104,41006
9061104,41010
9061104,41011
9061104,61020
9061104,61021
9061104,61022
9061104,61024
9061104,61025
9061104,61026
9061104,61027
9061104,61103
9061104,61104
9061104,61106
9061104,61107
9061104,61108
9061104,61109
9061104,61110
9061104,61111
9061104,61201
9061104,61202
9061104,61203
9061104,61204
9061104,61205
9061104,61206
9061104,61207
9061104,61208
9061104,61209
9061104,61210
9061104,61211
9061104,61212
9061104,61301
9061104,61302
9061104,61303
9061104,61304
9061104,61305
9061104,61404
9081006,71001
9081006,71002
9081006,71003
9081006,71004
9081006,71005
9081006,71006
9081006,101001
9081006,101002
9081006,101003
9081006,101004
9081006,101005
9081006,101006
9081006,101007
9081006,101008
9081006,101009
9081006,101010
9081006,101011
9081006,101012
9081006,101013
9081006,101014
9081006,101015
9081006,101017
9081006,101018
9151021,151001
9151021,151002
9151021,151003
9151021,151004
9151021,151005
9151021,151006
9151021,151007
9151021,151008
9151021,151009
9151021,151010
9151021,151011
9151021,151012
9151021,151013
9151021,151014
9151021,151015
9151021,151016
9151021,151017
9151021,151018
9151021,151019
9151021,151020
9151021,151021
9151021,151022
9151021,151023
9151021,151024
9151021,151025
9151021,151026
9151021,151027
9151021,151028
9151021,151030
9151021,151031
9151027,151015
9151027,151020
9151027,151026
9151027,151027
9151027,151029
9162012,141001
9162012,141002
9162012,141006
9162012,141007
9162012,141008
9162012,141009
9162012,141010
9162012,141011
9162012,141012
9162012,141013
9162012,141014
9162012,141015
9162012,141016
9162012,141017
9162012,141019
9162012,141020
9162012,141021
9162012,141022
9162012,141023
9162012,141024
9162012,141025
9162012,141026
9162012,141027
9162012,141029
9162012,141030
9162012,141031
9162012,141032
9162012,141033
9162012,141034
9162012,141035
9162012,141037
9162012,141041
9162012,141042
9162012,141043
9162012,141044
9162012,141045
9162012,141046
9162012,141047
9162012,141048
9162012,141049
9162012,151005
9162012,151006
9162012,151007
9162012,151008
