distid,area_total
61014,808859.3
61015,1568889
61016,944899.3
61017,609901.4
61018,180817.2
61019,1337280
61020,1100798
61021,1003071
61022,1209135
61023,966112
61024,2388280
61025,1050048
61026,577044.5
61027,1587311
61101,1692510
61102,138585
61103,339484.8
61105,932703.6
61106,805415.7
61107,939824.2
61108,570962.2
61109,693382.6
61110,731362.5
61111,1286633
61112,162661.6
61113,867478.2
61201,1378955
61202,1153179
61203,1565445
61204,1646374
61205,1799007
61206,1491364
61207,636056.8
61208,1159476
61209,1216280
61210,831727.7
61211,1442568
61212,1685891
61301,421578.2
61302,1403334
61303,1137360
61304,1059438
61305,629239.5
61401,693818.1
61402,1202533
61403,789638.4
61404,174773.2
71001,1235236
71002,1191343
71004,1245512
71005,1088513
71006,954817.8
81001,1041958
81002,459572.7
81003,336315.9
81004,468843.9
81005,364114.1
81006,395580.1
81007,1504092
81008,2710449
81009,2231907
81010,1584199
81011,289000.7
81012,285365.2
81013,1218769
81014,1664451
81015,2387840
81016,1616395
81017,1275973
81018,188616.7
101001,557633.6
101002,774649.5
101003,390199.6
101004,609349.1
101005,488845.9
101006,724605.4
101007,451933.4
101008,827914
101009,486570.3
101010,1127677
101011,893084.3
101012,732252.1
101013,773681.3
101014,399942.8
101015,2451893
101016,741455.1
101017,1357954
101018,312637.8
121001,500899.5
121002,832526
121003,22544.9
121004,1853210
121005,1286328
121006,1091280
121007,1161951
121008,855554.3
121009,956264.9
121010,997577.2
121011,972532.9
121012,691160.6
121013,96.9875
121014,1137224
121016,937834.3
121017,1170690
121018,962930.8
121019,1754493
121020,1416571
121021,1467685
121022,1090545
132001,499007.2
132002,678184.8
132003,587337.3
132004,384787.4
132005,498038.5
132006,1069683
132007,429159.5
132008,261412.6
141001,102698.8
141002,835310.2
141006,605903.1
141007,626295.2
141008,975940
141009,926740.6
141010,797324.2
141011,403660.1
141012,674256.9
141013,854920.6
141014,824301.8
141015,864391.2
141016,581745.9
141017,631437.4
141018,629883
141019,531014
141020,569766
141021,795111.4
141022,752628.8
141023,817637.1
141024,1003104
141025,1242161
141026,1246746
141027,2005098
141028,417814
141029,739841.6
141030,640914.3
141031,690427.7
141032,296242.2
141033,528499.8
141034,707437.9
141035,493662.4
141036,459811.6
141037,587143.1
141039,601505.4
141040,466512.4
141041,535241.9
141042,581316.4
141043,444186.4
141044,602068
141045,473677.5
141046,362265.6
141047,532287.8
141048,944456.1
141049,669268.3
151001,666952
151002,656999.9
151003,1478848
151004,1365590
151005,820586.3
151006,786874.6
151008,770115.8
151009,644405.3
151010,567459.5
151011,561815.6
151012,717255.9
151013,9574.679
151014,611586.1
151015,452510.2
151016,450398.7
151017,688207.4
151018,449857
151019,1458384
151020,646526.2
151021,662746.1
151022,725601.2
151023,750398.3
151024,654335.7
151025,592479.4
151026,484191.2
151027,247178.5
151028,1050085
151029,723937.9
151030,394107.9
151031,933281.3
