GAUGE,YEAR_OPENE,InLine_FID,SimLnFLag,POINT_X,POINT_Y
0,1922,0,0,71.44486933,21.14340145
0,1922,0,0,71.52086933,21.07940145
2,1880,1,0,88.47646933,26.70520145
2,1880,1,0,88.41166933,26.81530145
2,1880,2,0,88.41166933,26.81530145
2,1880,2,0,88.36646933,26.87790145
2,1881,3,0,88.36646933,26.87790145
2,1881,3,0,88.33696933,26.95260145
2.6,1866,4,0,78.25356933,21.02310145
2.6,1866,4,0,78.33176933,20.77350145
2.6,1873,5,0,73.40626933,22.12950145
2.6,1873,5,0,73.11866933,22.03260145
2.6,1873,6,0,73.40626933,22.12950145
2.6,1873,6,0,73.40616933,21.92830145
2.6,1873,7,0,73.40626933,22.12950145
2.6,1873,7,0,73.57786933,22.21430145
2.6,1873,7,0,73.89126933,22.38060145
2.6,1873,7,0,74.03126933,22.31680145
2.6,1895,8,0,70.79026933,22.77120145
2.6,1895,8,0,70.75096933,22.66120145
2.6,1897,9,0,75.75226933,18.20990145
2.6,1897,9,0,75.74366933,18.20260145
2.6,1897,9,0,75.39466933,18.10140145
2.6,1897,10,0,73.01956933,21.63640145
2.6,1897,10,0,73.15296933,21.74400145
2.6,1897,10,0,73.51436933,21.89860145
2.6,1898,11,0,88.15786933,22.66980145
2.6,1898,11,0,88.06836933,22.54560145
2.6,1898,12,0,88.15786933,22.66980145
2.6,1898,12,0,88.02936933,22.89730145
2.6,1898,13,0,88.25546933,22.67200145
2.6,1898,13,0,88.32636933,22.64520145
2.6,1898,14,0,88.19416933,22.76110145
2.6,1898,14,0,88.25546933,22.67200145
2.6,1898,14,0,88.15786933,22.66980145
2.6,1899,15,0,88.45416933,23.23270145
2.6,1899,15,0,88.50606933,23.38720145
2.6,1899,15,0,88.36806933,23.39870145
2.6,1899,16,0,77.65066933,25.38950145
2.6,1899,16,0,77.73826933,25.55240145
2.6,1899,16,0,77.74186933,25.88900145
2.6,1899,16,0,78.05116933,26.18950145
2.6,1899,16,0,78.19156933,26.19680145
2.6,1899,16,0,78.29356933,26.41140145
2.6,1899,16,0,78.82916933,26.56950145
2.6,1900,17,0,84.08916933,18.76640145
2.6,1900,17,0,84.29066933,18.56260145
2.6,1900,18,0,81.74766933,21.06090145
2.6,1900,18,0,81.71916933,20.84530145
2.6,1900,18,0,81.55546933,20.73040145
2.6,1900,19,0,81.74766933,21.06090145
2.6,1900,19,0,81.84336933,20.99580145
2.6,1900,20,0,81.60176933,21.26980145
2.6,1900,20,0,81.74766933,21.06090145
2.6,1903,21,0,80.18616933,21.43560145
2.6,1903,21,0,80.18466933,21.77330145
2.6,1903,21,0,80.11026933,22.43840145
2.6,1903,22,0,85.57016933,25.42900145
2.6,1903,22,0,85.57016933,25.42580145
2.6,1903,22,0,85.53336933,25.19680145
2.6,1903,23,0,76.85276933,30.73850145
2.6,1903,23,0,77.04406933,30.80310145
2.6,1903,23,0,77.00396933,30.94900145
2.6,1903,23,0,77.06776933,31.00300145
2.6,1903,24,0,71.43086933,33.59490145
2.6,1903,24,0,71.23036933,33.60400145
2.6,1903,24,0,70.96046933,33.45290145
2.6,1903,24,0,70.55586933,33.36430145
2.6,1904,25,0,79.89606933,23.02090145
2.6,1904,25,0,79.87116933,22.78740145
2.6,1904,25,0,80.11026933,22.43840145
2.6,1904,25,0,79.44906933,22.08610145
2.6,1904,25,0,78.98026933,22.08330145
2.6,1904,25,0,78.86026933,22.14670145
2.6,1904,26,0,77.38416933,26.26230145
2.6,1904,26,0,77.91886933,26.35660145
2.6,1904,26,0,78.07776933,26.27650145
2.6,1904,26,0,78.05116933,26.18950145
2.6,1905,27,0,86.75266933,21.95210145
2.6,1905,27,0,87.01886933,21.63980145
2.6,1905,28,0,88.83496933,22.56480145
2.6,1905,28,0,88.86426933,22.48340145
2.6,1905,29,0,88.79326933,22.61210145
2.6,1905,29,0,88.83386933,22.55830145
2.6,1905,30,0,88.58976933,22.65300145
2.6,1905,30,0,88.41876933,22.52840145
2.6,1905,31,0,88.58976933,22.65300145
2.6,1905,31,0,88.79316933,22.61530145
2.6,1905,32,0,88.58416933,22.65330145
2.6,1905,32,0,88.58976933,22.65300145
2.6,1905,33,0,88.59226933,22.65870145
2.6,1905,33,0,88.58976933,22.65300145
2.6,1905,34,0,88.45076933,22.66430145
2.6,1905,34,0,88.58956933,22.65600145
2.6,1905,35,0,79.95176933,23.12580145
2.6,1905,35,0,79.94926933,23.12330145
2.6,1905,35,0,79.89606933,23.02090145
2.6,1906,36,0,75.39466933,18.10140145
2.6,1906,36,0,75.39316933,17.80870145
2.6,1906,36,0,75.25546933,17.58160145
2.6,1906,37,0,78.72726933,22.14920145
2.6,1906,37,0,78.86026933,22.14670145
2.6,1907,38,0,73.33646933,18.88440145
2.6,1907,38,0,73.28006933,18.91580145
2.6,1907,39,0,85.43776933,23.35210145
2.6,1907,39,0,85.85146933,23.35330145
2.6,1907,39,0,86.21326933,23.42140145
2.6,1907,39,0,86.37006933,23.34230145
2.6,1907,40,0,77.38436933,28.67100145
2.6,1907,40,0,77.24586933,28.99260145
2.6,1907,40,0,77.28946933,29.35810145
2.6,1907,40,0,77.58006933,29.97570145
2.6,1908,41,0,79.15686933,21.24190145
2.6,1908,41,0,79.34866933,21.02020145
2.6,1908,41,0,79.34746933,20.84330145
2.6,1908,41,0,79.57616933,20.74190145
2.6,1908,41,0,79.70056933,20.56640145
2.6,1908,41,0,79.93536933,20.64020145
2.6,1908,41,0,80.18586933,21.25310145
2.6,1908,41,0,80.18616933,21.43560145
2.6,1908,42,0,69.67426933,23.25060145
2.6,1908,42,0,70.03266933,23.11030145
2.6,1908,43,0,77.14756933,26.14580145
2.6,1908,43,0,77.38416933,26.26230145
2.6,1908,44,0,77.61856933,26.63230145
2.6,1908,44,0,77.92006933,26.71400145
2.6,1909,45,0,80.11026933,22.43840145
2.6,1909,45,0,80.30196933,22.42840145
2.6,1909,45,0,80.32896933,22.57000145
2.6,1909,46,0,76.69156933,25.65710145
2.6,1909,46,0,76.78846933,25.85770145
2.6,1909,46,0,77.14756933,26.14580145
2.6,1910,47,0,79.70056933,20.56640145
2.6,1910,47,0,79.70606933,20.15330145
2.6,1911,48,0,76.17466933,18.21430145
2.6,1911,48,0,75.74366933,18.20260145
2.6,1911,49,0,76.28076933,18.26750145
2.6,1911,49,0,76.17606933,18.20990145
2.6,1911,50,0,76.56176933,18.29870145
2.6,1911,50,0,76.28076933,18.26750145
2.6,1911,51,0,76.63336933,18.31860145
2.6,1911,51,0,76.56176933,18.29870145
2.6,1911,52,0,78.88996933,21.52330145
2.6,1911,52,0,78.92206933,21.41220145
2.6,1911,52,0,79.15686933,21.24190145
2.6,1911,53,0,78.88996933,21.52330145
2.6,1911,53,0,78.94156933,21.49500145
2.6,1911,54,0,78.80126933,21.68240145
2.6,1911,54,0,78.88996933,21.52330145
2.6,1911,55,0,84.04186933,24.93960145
2.6,1911,55,0,84.23876933,25.19410145
2.6,1911,55,0,84.68926933,25.54410145
2.6,1911,56,0,85.41246933,25.02910145
2.6,1911,56,0,85.53336933,25.19680145
2.6,1912,57,0,72.96306933,21.44760145
2.6,1912,57,0,73.03846933,21.40360145
2.6,1912,57,0,73.14876933,21.46530145
2.6,1912,57,0,73.17706933,21.38600145
2.6,1912,57,0,73.24616933,21.44680145
2.6,1913,58,0,78.13036933,13.18350145
2.6,1913,58,0,78.20156933,12.99950145
2.6,1913,59,0,77.53306933,21.28640145
2.6,1913,59,0,77.32206933,21.18610145
2.6,1913,59,0,77.38156933,20.72870145
2.6,1913,60,0,80.18466933,21.77330145
2.6,1913,60,0,80.00286933,21.77660145
2.6,1913,61,0,80.00286933,21.77660145
2.6,1913,61,0,79.84976933,21.77480145
2.6,1913,62,0,80.00286933,21.77660145
2.6,1913,62,0,79.89916933,21.88360145
2.6,1913,63,0,78.98026933,22.08330145
2.6,1913,63,0,78.92506933,21.77370145
2.6,1913,63,0,78.80126933,21.68240145
2.6,1913,63,0,78.66736933,21.68250145
2.6,1913,64,0,72.85746933,22.73300145
2.6,1913,64,0,73.11186933,23.06270145
2.6,1913,65,0,73.59136933,22.76930145
2.6,1913,65,0,73.59896933,23.15230145
2.6,1913,66,0,84.71446933,23.42520145
2.6,1913,66,0,85.43776933,23.35210145
2.6,1913,67,0,77.61856933,26.63230145
2.6,1913,67,0,77.54366933,26.70550145
2.6,1913,67,0,77.53386933,26.75580145
2.6,1913,68,0,71.58346933,32.88990145
2.6,1913,68,0,71.48786933,32.94350145
2.6,1913,68,0,71.15586933,32.59770145
2.6,1913,68,0,70.90726933,32.60310145
2.6,1913,69,0,70.62466933,32.97780145
2.6,1913,69,0,70.78366933,32.82690145
2.6,1913,69,0,70.77436933,32.66120145
2.6,1913,69,0,70.90726933,32.60310145
2.6,1914,70,0,74.58876933,18.47510145
2.6,1914,70,0,74.58026933,18.14190145
2.6,1914,71,0,77.38156933,20.72870145
2.6,1914,71,0,77.51336933,20.48390145
2.6,1914,72,0,72.78456933,22.04870145
2.6,1914,72,0,72.91656933,21.85620145
2.6,1914,72,0,72.92156933,21.84820145
2.6,1914,72,0,72.99896933,21.70830145
2.6,1914,73,0,77.53386933,26.75580145
2.6,1914,73,0,77.50296933,26.82440145
2.6,1914,74,0,68.43816933,28.26360145
2.6,1914,74,0,69.18946933,28.24290145
2.6,1914,74,0,69.56486933,28.43130145
2.6,1914,75,0,70.00016933,28.73230145
2.6,1914,75,0,69.56066933,28.43510145
2.6,1915,76,0,77.57086933,13.14240145
2.6,1915,76,0,77.72606933,13.35370145
2.6,1915,77,0,77.51336933,20.48390145
